sc_no	top1	top2	grow	sc
1	0.13449186055574558	0.1296604701108569	-0.03592329249461235	ACOUSTICS
3	0.12448659856601185	0.13441900873192836	0.07978698334061729	AGRICULTURE, DAIRY & ANIMAL SCIENCE
5	0.14471937211983144	0.169176682664125	0.16899818031301472	AGRICULTURE, MULTIDISCIPLINARY
8	0.1210571357202842	0.15809723702603318	0.3059720609228207	AGRONOMY
9	0.18017196597005802	0.2100704514812879	0.1659441597934197	ALLERGY
10	0.11663550612675544	0.1472062728555058	0.2621051491432387	ANATOMY & MORPHOLOGY
11	0.09914637730028997	0.10119122903329325	0.02062457337003787	ANDROLOGY
12	0.13127496869789035	0.15662005771423748	0.19306871117733837	ANESTHESIOLOGY
13	0.15969626352437138	0.16095142930560447	0.007859706630152452	BIODIVERSITY CONSERVATION
20	0.16105832011917154	0.17490507088842244	0.08597352039314266	ASTRONOMY & ASTROPHYSICS
23	0.182833425539084	0.16752183547682742	-0.08374612036672391	BIOCHEMICAL RESEARCH METHODS
24	0.1420554956782507	0.1687919932705103	0.1882116384487973	BIOCHEMISTRY & MOLECULAR BIOLOGY
25	0.16924495870154133	0.13951695068951153	-0.1756507741211618	BIOLOGY
27	0.15005051448603857	0.14482896003771462	-0.0347986440846878	BIOPHYSICS
29	0.13902579888143973	0.12770195564486586	-0.08145138044652256	PLANT SCIENCES
32	0.1583743965416181	0.2092090103480988	0.32097747436797475	ONCOLOGY
33	0.2005598567481428	0.27402290740346225	0.36628990390421046	CARDIAC & CARDIOVASCULAR SYSTEMS
34	0.14655146758800364	0.15980535677757446	0.09043846102470399	CELL BIOLOGY
36	0.19242203218419907	0.153072833467625	-0.20449424772162472	CHEMISTRY, APPLIED
37	0.13357840327931392	0.13290794795152305	-0.005019189564565596	CHEMISTRY, MEDICINAL
38	0.19536065030212124	0.1770742622533461	-0.0936032308476431	CHEMISTRY, MULTIDISCIPLINARY
39	0.13694026897761757	0.14048810447633153	0.025907905141429488	CHEMISTRY, ANALYTICAL
40	0.15737552002194322	0.14920774190613484	-0.0518999277312604	CHEMISTRY, INORGANIC & NUCLEAR
41	0.14173130988349913	0.14624037764743314	0.03181419664885898	CHEMISTRY, ORGANIC
42	0.15167087784722222	0.14908176252853	-0.017070616030192887	CHEMISTRY, PHYSICAL
45	0.12963418067168897	0.1377610963503263	0.06269114855764402	PSYCHOLOGY, CLINICAL
50	0.14689396530423293	0.13306316411482877	-0.09415499922518333	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
56	0.15587988121219876	0.18326266635433763	0.17566593539330966	EMERGENCY MEDICINE
57	0.18623674533734724	0.18311709867165138	-0.016750972854712276	CRYSTALLOGRAPHY
61	0.1398280040712736	0.1554454615686074	0.11169048432796913	DENTISTRY/ORAL SURGERY & MEDICINE
62	0.15003264722188747	0.21059265041036923	0.40364550189478354	DERMATOLOGY
63	0.1200448021083621	0.12739485208950674	0.06122755714578876	GEOCHEMISTRY & GEOPHYSICS
64	0.12171446301500666	0.19372417724454494	0.5916282456971438	SUBSTANCE ABUSE
65	0.13023661046503365	0.11750039997514217	-0.0977928590464272	ECOLOGY
71	0.12892115385993674	0.14915751810155709	0.15696698048177304	ELECTROCHEMISTRY
72	0.1332920708893116	0.13273231026907495	-0.004199504265347431	EVOLUTIONARY BIOLOGY
73	0.12762194744364475	0.13683232356465092	0.07216921779910379	DEVELOPMENTAL BIOLOGY
74	0.16329037029395177	0.22704231693337362	0.39042073653612874	ENDOCRINOLOGY & METABOLISM
88	0.1234021262935674	0.14079556032286478	0.14094922471529614	ENTOMOLOGY
89	0.13790226058542154	0.15278593078947278	0.10792912415552292	ENVIRONMENTAL SCIENCES
95	0.12068101482626792	0.13770383859487434	0.141056352510065	FISHERIES
97	0.12271199617165907	0.13815268791851942	0.12582870647186528	FOOD SCIENCE & TECHNOLOGY
98	0.15178114817152466	0.12644605328115466	-0.16691858768744683	FORESTRY
99	0.16201541765627503	0.19402815864267509	0.19759070741228424	GASTROENTEROLOGY & HEPATOLOGY
100	0.17697662978247386	0.24074240049179374	0.3603061646483827	GENETICS & HEREDITY
102	0.09766900980019	0.08984884500142831	-0.08006802582272599	GEOGRAPHY, PHYSICAL
104	0.12908082857665326	0.1384670487084213	0.07271583422006112	GEOSCIENCES, MULTIDISCIPLINARY
105	0.1990699275227935	0.23879506334824518	0.19955367603629215	GERIATRICS & GERONTOLOGY
107	0.16880984353287964	0.18304778535479538	0.08434307812827613	HEMATOLOGY
111	0.11178546880781126	0.12117854492334723	0.08402770248864044	HORTICULTURE
113	0.16491496900055735	0.2603582766552853	0.5787425376431743	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH
114	0.1412627608185707	0.15877694079749793	0.12398299365974719	IMMUNOLOGY
116	0.15134732675268003	0.16216284397996827	0.07146156763615719	INFECTIOUS DISEASES
122	0.1268755646669122	0.1391253217049051	0.09654937946603304	MEDICINE, LEGAL
125	0.17316620605296773	0.14945357486812005	-0.1369356742596446	LIMNOLOGY
135	0.10958910032966307	0.12127381605220922	0.1066229733376447	MARINE & FRESHWATER BIOLOGY
139	0.13768239904214763	0.14715952289406886	0.06883322717975071	MATHEMATICS, APPLIED
140	0.15955018540408739	0.17133953791409384	0.07389118652634563	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS
143	0.15312132736463724	0.12493868377794093	-0.1840543317625718	MEDICAL INFORMATICS
146	0.22261783517023115	0.43051323486469395	0.9338667745802558	MEDICINE, GENERAL & INTERNAL
